Area,Perimeter,Major_Axis_Length,Minor_Axis_Length,Convex_Area,Equiv_Diameter,Eccentricity,Solidity,Extent,Roundness,Aspect_Ration,Compactness,Class
67699,1023.719,405.671,213.4477,68507,293.5933,0.8504,0.9882,0.6923,0.8118,1.9006,0.7237,Çerçevelik
88645,1176.996,464.8264,243.8185,89630,335.9558,0.8514,0.989,0.7373,0.8041,1.9064,0.7228,Çerçevelik
82306,1059.11,390.5541,268.9078,82826,323.721,0.7252,0.9937,0.7279,0.9221,1.4524,0.8289,Çerçevelik
80722,1103.905,426.8265,241.4469,81479,320.5908,0.8246,0.9907,0.6708,0.8324,1.7678,0.7511,Çerçevelik
71757,1022.204,394.1106,232.7409,72386,302.2645,0.807,0.9913,0.6877,0.863,1.6933,0.767,Çerçevelik
68772,1047.819,423.7982,208.8385,69678,295.9108,0.8702,0.987,0.6664,0.7871,2.0293,0.6982,Çerçevelik
82602,1101.746,427.4416,247.0308,83456,324.3025,0.8161,0.9898,0.7493,0.8551,1.7303,0.7587,Çerçevelik
103877,1240.142,478.2383,278.0698,104566,363.6761,0.8136,0.9934,0.7367,0.8488,1.7198,0.7604,Çerçevelik
76934,1061.602,407.9159,241.0363,77995,312.9783,0.8067,0.9864,0.7445,0.8578,1.6923,0.7673,Çerçevelik
83987,1162.968,448.6445,239.7751,85055,327.01,0.8452,0.9874,0.6689,0.7803,1.8711,0.7289,Çerçevelik
79453,1106.574,414.3993,246.1013,80425,318.0608,0.8046,0.9879,0.7075,0.8154,1.6839,0.7675,Çerçevelik
58242,908.051,347.5851,214.0792,58711,272.316,0.7878,0.992,0.718,0.8876,1.6236,0.7835,Çerçevelik
67879,999.949,378.0646,230.2247,68541,293.9834,0.7932,0.9903,0.7413,0.8531,1.6422,0.7776,Çerçevelik
80184,1083.688,422.7077,242.2911,80947,319.5206,0.8194,0.9906,0.7315,0.858,1.7446,0.7559,Çerçevelik
86344,1164.476,472.9563,233.3873,87249,331.5669,0.8698,0.9896,0.7207,0.8002,2.0265,0.7011,Çerçevelik
72519,1041.227,413.2742,224.0976,73130,303.8652,0.8402,0.9916,0.6903,0.8406,1.8442,0.7353,Çerçevelik
74431,1046.008,408.087,232.7185,75075,307.8449,0.8215,0.9914,0.6733,0.8549,1.7536,0.7544,Çerçevelik
64970,1003.365,395.6425,211.4287,65720,287.615,0.8452,0.9886,0.7153,0.811,1.8713,0.727,Çerçevelik
81094,1145.03,475.3533,218.0615,81833,321.3286,0.8886,0.991,0.5881,0.7773,2.1799,0.676,Çerçevelik
72637,1021.445,398.5861,232.6127,73209,304.1123,0.812,0.9922,0.7424,0.8749,1.7135,0.763,Çerçevelik
75716,1064.63,427.7998,225.9345,76238,310.4909,0.8492,0.9932,0.7441,0.8395,1.8935,0.7258,Çerçevelik
86505,1144.628,452.934,244.3227,87227,331.8759,0.842,0.9917,0.7243,0.8297,1.8538,0.7327,Çerçevelik
84697,1132.218,443.8617,243.4756,85817,328.3894,0.8361,0.9869,0.6605,0.8303,1.823,0.7398,Çerçevelik
65320,1001.012,399.9118,210.6512,66404,288.3886,0.85,0.9837,0.6542,0.8192,1.8985,0.7211,Çerçevelik
70609,1011.299,393.8305,228.639,71270,299.8369,0.8142,0.9907,0.6798,0.8676,1.7225,0.7613,Çerçevelik
61326,932.085,359.456,217.7703,61772,279.4328,0.7956,0.9928,0.7475,0.887,1.6506,0.7774,Çerçevelik
87714,1235.142,486.2567,231.2264,88918,334.187,0.8797,0.9865,0.7249,0.7225,2.1029,0.6873,Çerçevelik
69395,1048.876,423.6297,209.6778,70213,297.2481,0.8689,0.9883,0.7015,0.7927,2.0204,0.7017,Çerçevelik
84080,1146.835,453.8263,238.3155,85182,327.191,0.851,0.9871,0.74,0.8033,1.9043,0.721,Çerçevelik
84934,1115.518,424.2902,255.6963,85714,328.8485,0.798,0.9909,0.7154,0.8577,1.6594,0.7751,Çerçevelik
86359,1172.516,460.8719,240.8522,87377,331.5957,0.8526,0.9883,0.6753,0.7894,1.9135,0.7195,Çerçevelik
84936,1144.801,458.1008,236.9788,85894,328.8524,0.8558,0.9888,0.7282,0.8144,1.9331,0.7179,Çerçevelik
79177,1094.158,432.9876,233.1767,79966,317.5079,0.8426,0.9901,0.6601,0.8311,1.8569,0.7333,Çerçevelik
75637,1076.373,429.0606,225.5956,76453,310.3289,0.8506,0.9893,0.7445,0.8204,1.9019,0.7233,Çerçevelik
76992,1149.728,475.9479,207.6793,77948,313.0962,0.8998,0.9877,0.6987,0.7319,2.2917,0.6578,Çerçevelik
76245,1088.159,427.4256,227.9168,77196,311.5737,0.846,0.9877,0.6538,0.8092,1.8754,0.729,Çerçevelik
75084,1035.296,388.4408,246.8196,75950,309.1924,0.7722,0.9886,0.7543,0.8803,1.5738,0.796,Çerçevelik
82560,1129.072,452.617,233.0551,83366,324.2201,0.8572,0.9903,0.7268,0.8138,1.9421,0.7163,Çerçevelik
91673,1167.775,455.9727,256.5059,92386,341.6456,0.8268,0.9923,0.7416,0.8448,1.7776,0.7493,Çerçevelik
86767,1168.614,474.2377,233.565,87474,332.3781,0.8703,0.9919,0.6218,0.7984,2.0304,0.7009,Çerçevelik
84720,1168.169,482.637,225.2079,85531,328.4339,0.8845,0.9905,0.7515,0.7802,2.1431,0.6805,Ürgüp Sivrisi
76262,1067.326,415.7299,234.0947,76927,311.6084,0.8264,0.9914,0.7282,0.8412,1.7759,0.7495,Ürgüp Sivrisi
103614,1311.191,548.9053,240.4489,104476,363.2154,0.8989,0.9917,0.7831,0.7573,2.2828,0.6617,Ürgüp Sivrisi
83981,1195.616,510.4825,210.0041,84575,326.9984,0.9115,0.993,0.7495,0.7383,2.4308,0.6406,Ürgüp Sivrisi
105708,1298.708,536.2754,251.9351,106758,366.8673,0.8828,0.9902,0.7333,0.7876,2.1286,0.6841,Ürgüp Sivrisi
102193,1288.79,520.3049,252.4221,103526,360.7162,0.8744,0.9871,0.7502,0.7732,2.0612,0.6933,Ürgüp Sivrisi
66125,1055.77,443.1698,191.9069,66757,290.1602,0.9014,0.9905,0.7262,0.7455,2.3093,0.6547,Ürgüp Sivrisi
85316,1214.989,518.8345,209.7794,85904,329.5872,0.9146,0.9932,0.7113,0.7263,2.4732,0.6352,Ürgüp Sivrisi
92089,1240.607,512.5838,229.6727,92961,342.4199,0.894,0.9906,0.6155,0.7519,2.2318,0.668,Ürgüp Sivrisi
90106,1300.553,501.3463,231.4713,91944,338.713,0.887,0.98,0.6802,0.6694,2.1659,0.6756,Ürgüp Sivrisi
99461,1331.364,570.9743,222.876,100613,355.8619,0.9207,0.9886,0.7098,0.7051,2.5618,0.6233,Ürgüp Sivrisi
91148,1221.804,514.3802,226.2916,91768,340.6659,0.898,0.9932,0.7279,0.7673,2.2731,0.6623,Ürgüp Sivrisi
82860,1261.731,513.7139,207.4564,84114,324.8086,0.9148,0.9851,0.7722,0.6541,2.4763,0.6323,Ürgüp Sivrisi
85170,1178.698,495.0486,219.5439,85963,329.305,0.8963,0.9908,0.7037,0.7704,2.2549,0.6652,Ürgüp Sivrisi
96928,1282.198,532.1005,233.1031,98238,351.3012,0.8989,0.9867,0.7349,0.7409,2.2827,0.6602,Ürgüp Sivrisi
66513,1069.401,451.8002,188.372,67412,291.0103,0.9089,0.9867,0.6427,0.7309,2.3984,0.6441,Ürgüp Sivrisi
65691,1122.062,492.8912,170.134,66383,289.2065,0.9385,0.9896,0.468,0.6557,2.8971,0.5868,Ürgüp Sivrisi
65186,1032.756,428.1762,194.6023,65755,288.0927,0.8908,0.9913,0.5706,0.768,2.2003,0.6728,Ürgüp Sivrisi
76343,1092.085,442.3018,221.058,77005,311.7738,0.8661,0.9914,0.7474,0.8044,2.0008,0.7049,Ürgüp Sivrisi
75421,1173.574,510.5464,188.4542,76426,309.8855,0.9294,0.9869,0.756,0.6881,2.7091,0.607,Ürgüp Sivrisi
96304,1349.208,590.3167,209.0276,97160,350.1686,0.9352,0.9912,0.7637,0.6648,2.8241,0.5932,Ürgüp Sivrisi
76751,1133.178,467.7719,210.4387,77745,312.6058,0.8931,0.9872,0.7238,0.7511,2.2228,0.6683,Ürgüp Sivrisi
90209,1212.904,500.1103,230.3826,91059,338.9066,0.8876,0.9907,0.7219,0.7706,2.1708,0.6777,Ürgüp Sivrisi
70499,1138.229,458.5958,196.779,71760,299.6033,0.9033,0.9824,0.7245,0.6838,2.3305,0.6533,Ürgüp Sivrisi
85988,1187.601,495.8356,221.2252,86928,330.8826,0.8949,0.9892,0.7718,0.7661,2.2413,0.6673,Ürgüp Sivrisi
74674,1080.253,424.157,227.5276,75586,308.347,0.8439,0.9879,0.6945,0.8041,1.8642,0.727,Ürgüp Sivrisi
97248,1244.141,513.9794,242.3916,97960,351.8807,0.8818,0.9927,0.7582,0.7895,2.1205,0.6846,Ürgüp Sivrisi
80229,1134.806,456.8394,225.2395,81291,319.6103,0.87,0.9869,0.7439,0.7829,2.0282,0.6996,Ürgüp Sivrisi
86092,1220.39,514.0893,213.696,87032,331.0827,0.9095,0.9892,0.541,0.7264,2.4057,0.644,Ürgüp Sivrisi
75848,1073.301,431.1936,224.8681,76621,310.7614,0.8533,0.9899,0.6826,0.8274,1.9175,0.7207,Ürgüp Sivrisi
97966,1238.779,497.9173,251.3542,98754,353.1773,0.8632,0.992,0.6282,0.8022,1.9809,0.7093,Ürgüp Sivrisi
67562,1017.263,383.6983,228.6981,68465,293.2961,0.803,0.9868,0.6326,0.8204,1.6777,0.7644,Ürgüp Sivrisi
99963,1320.999,567.5198,225.2352,101049,356.7588,0.9179,0.9893,0.613,0.7199,2.5197,0.6286,Ürgüp Sivrisi
82850,1130.494,453.027,233.3722,83496,324.789,0.8571,0.9923,0.7198,0.8146,1.9412,0.7169,Ürgüp Sivrisi
66784,1045.219,433.0448,197.2946,67349,291.6025,0.8902,0.9916,0.6877,0.7682,2.1949,0.6734,Ürgüp Sivrisi
94293,1213.491,496.2845,243.012,95045,346.4933,0.8719,0.9921,0.7559,0.8047,2.0422,0.6982,Ürgüp Sivrisi
87110,1204.394,503.0661,221.0046,88000,333.0344,0.8983,0.9899,0.6983,0.7546,2.2763,0.662,Ürgüp Sivrisi
79637,1224.71,533.1513,190.4367,80381,318.4289,0.934,0.9907,0.4888,0.6672,2.7996,0.5973,Ürgüp Sivrisi
