Area,MajorAxisLength,MinorAxisLength,Eccentricity,ConvexArea,Extent,Perimeter,Class
60952,332.4554716,235.429835,0.706057518,62329,0.74359819,933.366,Kecimen
33565,261.5543311,167.7084908,0.767374275,35794,0.68155052,751.413,Kecimen
61251,301.5077895,273.6599414,0.419753707,64732,0.643595671,971.769,Kecimen
41809,307.5327392,175.085568,0.822113695,43838,0.697444367,828.697,Kecimen
49882,287.2643272,222.1858727,0.633851884,50880,0.766377827,843.764,Kecimen
41502,260.5126753,205.8650238,0.612809911,43114,0.824319225,790.427,Kecimen
47581,306.8118747,203.097502,0.749538262,49203,0.667775392,861.58,Kecimen
64717,342.5767105,245.7320369,0.696759162,66649,0.66254095,997.989,Kecimen
60449,383.8002498,208.1687832,0.840127895,64346,0.67634488,1054.198,Kecimen
47851,323.1525189,191.6109615,0.805244577,49187,0.773237024,860.402,Kecimen
39457,267.5569406,188.7651659,0.708695988,40472,0.697576154,755.822,Kecimen
38968,269.4020207,185.7275682,0.724374455,40147,0.737583283,769.242,Kecimen
55306,353.1546092,204.126836,0.816029801,57396,0.743990207,973.259,Kecimen
44367,322.5040186,176.7089727,0.836525515,46531,0.732999603,883.973,Kecimen
79532,367.5260058,277.2241619,0.656532102,81603,0.735114151,1075.271,Kecimen
55770,293.5806697,243.4806344,0.558731929,57633,0.740165631,900.109,Kecimen
57227,354.43108,207.5949862,0.810518333,59307,0.649981827,953.496,Kecimen
50445,308.3589121,208.8552452,0.735695738,51555,0.723225806,851.632,Kecimen
57980,336.312888,222.6097658,0.74958095,59311,0.777295152,925.795,Kecimen
41050,316.841636,167.3283344,0.849173815,42965,0.641185842,846.833,Kecimen
41283,268.1253606,199.6354013,0.667555617,42505,0.732383622,798.515,Kecimen
77161,394.2783917,253.21136,0.766524847,82746,0.671900035,1127.409,Kecimen
43461,333.7059198,169.3095334,0.861733321,45669,0.677934111,867.446,Kecimen
87036,384.9699031,289.4539006,0.659291894,88336,0.727896163,1094.59,Kecimen
59822,336.5840696,227.9495391,0.735758503,60648,0.700286801,916.044,Kecimen
61377,339.7334965,234.0242375,0.724907214,64027,0.705612526,975.553,Kecimen
62422,324.5569613,247.707867,0.646140518,64021,0.716062129,947.541,Kecimen
93559,438.6343535,275.5829735,0.777991385,95750,0.687069934,1198.259,Kecimen
52693,283.5042387,242.1139544,0.520265279,54860,0.737749216,895.745,Kecimen
44460,294.624132,197.5565774,0.741875489,47486,0.647425443,849.225,Kecimen
57676,333.9700499,222.2744566,0.746351424,58991,0.688668657,926.255,Kecimen
